           [1>1]           [1>2]           [1>3]           [1>4]           [1>5]           [2>1]           [2>2]           [2>3]           [2>4]           [2>5]           [3>1]           [3>2]           [3>3]           [3>4]           [3>5]           [4>1]           [4>2]           [4>3]           [4>4]           [4>5]           [5>1]           [5>2]           [5>3]           [5>4]           [5>5]
  0.0000000E+000  9.0500390E-001  1.7320171E-003  8.3895578E-006  4.1329826E-004  3.5386282E-001  0.0000000E+000  7.6233876E-001  7.5761236E-001  7.6175068E-001  4.8845435E-005  2.2206532E-005  0.0000000E+000  5.6976488E-005  1.9839501E-004  3.0093327E-005  8.1027074E-005  4.3312114E-005  0.0000000E+000  6.3961083E-005  1.8389059E-004  5.6523999E-005  7.1056115E-005  7.8584945E-005  0.0000000E+000
  0.0000000E+000  8.1914917E-001  8.1053638E-004  5.7354775E-006  1.6403426E-004  3.1458433E-001  0.0000000E+000  7.3992612E-001  7.3515160E-001  7.3945149E-001  3.7811283E-005  1.6622523E-005  0.0000000E+000  5.4755309E-005  1.8421152E-004  2.6543686E-005  6.4078432E-005  4.2876026E-005  0.0000000E+000  5.2608835E-005  1.5335870E-004  4.2458422E-005  6.5168730E-005  6.9352068E-005  0.0000000E+000
  0.0000000E+000  7.1785290E-001  4.4761437E-004  4.4237061E-006  8.7880694E-005  2.7993889E-001  0.0000000E+000  7.1794370E-001  7.1318566E-001  7.1760512E-001  3.0151777E-005  1.2819629E-005  0.0000000E+000  5.3180313E-005  1.7411273E-004  2.5939947E-005  5.2094471E-005  4.2704066E-005  0.0000000E+000  4.4476396E-005  1.3148564E-004  3.3238439E-005  6.0888811E-005  6.2519085E-005  0.0000000E+000
  0.0000000E+000  6.1506691E-001  2.7614948E-004  3.6809016E-006  6.2019628E-005  2.4949071E-001  0.0000000E+000  6.9646373E-001  6.9178229E-001  6.9628143E-001  2.4623957E-005  1.0127139E-005  0.0000000E+000  5.2021464E-005  1.6664851E-004  2.6827129E-005  4.3290968E-005  4.2672560E-005  0.0000000E+000  3.8428445E-005  1.1521714E-004  2.6970236E-005  5.7662045E-005  5.7286203E-005  0.0000000E+000
  0.0000000E+000  5.1996128E-001  1.8376376E-004  3.2135184E-006  5.3597632E-005  2.2278522E-001  0.0000000E+000  6.7554018E-001  6.7099050E-001  6.7553199E-001  2.0506679E-005  8.1598043E-006  0.0000000E+000  5.1143233E-005  1.6096328E-004  2.8458067E-005  3.6620969E-005  4.2716663E-005  0.0000000E+000  3.3792927E-005  1.0274567E-004  2.2583941E-005  5.5156879E-005  5.3167225E-005  0.0000000E+000
  0.0000000E+000  4.3683431E-001  1.2909638E-004  2.8961542E-006  5.1960303E-005  1.9938060E-001  0.0000000E+000  6.5521189E-001  6.5084394E-001  6.5539331E-001  1.7358940E-005  6.6843707E-006  0.0000000E+000  5.0461493E-005  1.5652519E-004  3.0434469E-005  3.1437108E-005  4.2800893E-005  0.0000000E+000  3.0150777E-005  9.2944388E-005  1.9442644E-005  5.3164544E-005  4.9851437E-005  0.0000000E+000
  0.0000000E+000  3.6660516E-001  9.4436785E-005  2.6682258E-006  5.3112934E-005  1.7886547E-001  0.0000000E+000  6.3550524E-001  6.3136373E-001  6.3588949E-001  1.4899077E-005  5.5533384E-006  0.0000000E+000  4.9921726E-005  1.5298916E-004  3.2539092E-005  2.7321419E-005  4.2905236E-005  0.0000000E+000  2.7229232E-005  8.5079997E-005  1.7150506E-005  5.1547892E-005  4.7131919E-005  0.0000000E+000
  0.0000000E+000  3.0838401E-001  7.1276065E-005  2.4974227E-006  5.5399644E-005  1.6086739E-001  0.0000000E+000  6.1643638E-001  6.1256089E-001  6.1703458E-001  1.2940512E-005  4.6699714E-006  0.0000000E+000  4.9487298E-005  1.5012301E-004  3.4652501E-005  2.3994097E-005  4.3018176E-005  0.0000000E+000  2.4844258E-005  7.8657815E-005  1.5452509E-005  5.0213577E-005  4.4866038E-005  0.0000000E+000
  0.0000000E+000  2.6055582E-001  5.5147674E-005  2.3651202E-006  5.8087837E-005  1.4505537E-001  0.0000000E+000  5.9801320E-001  5.9443832E-001  5.9883449E-001  1.1355765E-005  3.9688306E-006  0.0000000E+000  4.9132824E-005  1.4776569E-004  3.6709727E-005  2.1261965E-005  4.3133033E-005  0.0000000E+000  2.2867838E-005  7.3333768E-005  1.4179282E-005  4.9096115E-005  4.2952557E-005  0.0000000E+000
  0.0000000E+000  2.2137781E-001  4.3537881E-005  2.2598983E-006  6.0842155E-005  1.3113906E-001  0.0000000E+000  5.8023688E-001  5.7699253E-001  5.8128857E-001  1.0055374E-005  3.4044521E-006  0.0000000E+000  4.8840245E-005  1.4580246E-004  3.8676815E-005  1.8988079E-005  4.3245946E-005  0.0000000E+000  2.1208549E-005  6.8862160E-005  1.3215372E-005  4.8148370E-005  4.1317795E-005  0.0000000E+000
  0.0000000E+000  1.8925174E-001  3.4950456E-005  2.1743963E-006  6.3509160E-005  1.1886587E-001  0.0000000E+000  5.6310326E-001  5.6021497E-001  5.6439102E-001  8.9750827E-006  2.9445094E-006  0.0000000E+000  4.8596409E-005  1.4414973E-004  4.0537704E-005  1.7073097E-005  4.3354737E-005  0.0000000E+000  1.9799600E-005  6.5063495E-005  1.2480286E-005  4.7335639E-005  3.9906945E-005  0.0000000E+000
  0.0000000E+000  1.6281747E-001  2.8452927E-005  2.1036712E-006  6.6022375E-005  1.0801738E-001  0.0000000E+000  5.4660397E-001  5.4409322E-001  5.4813198E-001  8.0677914E-006  2.5655451E-006  0.0000000E+000  4.8391548E-005  1.4274531E-004  4.2286703E-005  1.5443480E-005  4.3458246E-005  0.0000000E+000  1.8591208E-005  6.1803991E-005  1.1916797E-005  4.6631868E-005  3.8678457E-005  0.0000000E+000
  0.0000000E+000  1.4096099E-001  2.3441451E-005  2.0442877E-006  6.8357937E-005  9.8405353E-002  0.0000000E+000  5.3072735E-001  5.2861189E-001  5.3249845E-001  7.2983456E-006  2.2502292E-006  0.0000000E+000  4.8218272E-005  1.4154215E-004  4.3924093E-005  1.4043816E-005  4.3555927E-005  0.0000000E+000  1.7545607E-005  5.8982154E-005  1.1483512E-005  4.6017152E-005  3.7600300E-005  0.0000000E+000
  0.0000000E+000  1.2278799E-001  1.9512105E-005  1.9937886E-006  7.0512949E-005  8.9867938E-002  0.0000000E+000  5.1545922E-001  5.1375344E-001  5.1747506E-001  6.6400826E-006  1.9855515E-006  0.0000000E+000  4.8070901E-005  1.4050403E-004  4.5453507E-005  1.2831678E-005  4.3647614E-005  0.0000000E+000  1.6633694E-005  5.6519775E-005  1.1150032E-005  4.5476050E-005  3.6647409E-005  0.0000000E+000
