           [1>1]           [1>2]           [2>1]           [2>2]
  0.0000000E+000  1.0088193E-002  7.8946972E-003  0.0000000E+000
  0.0000000E+000  1.7145763E-002  8.3912426E-003  0.0000000E+000
  0.0000000E+000  2.6820644E-002  9.3626541E-003  0.0000000E+000
  0.0000000E+000  3.8699333E-002  1.0797174E-002  0.0000000E+000
  0.0000000E+000  5.2045898E-002  1.2663353E-002  0.0000000E+000
  0.0000000E+000  6.5944278E-002  1.4923928E-002  0.0000000E+000
  0.0000000E+000  7.9494100E-002  1.7543221E-002  0.0000000E+000
  0.0000000E+000  9.1977542E-002  2.0489594E-002  0.0000000E+000
  0.0000000E+000  1.0294152E-001  2.3735132E-002  0.0000000E+000
  0.0000000E+000  1.1219208E-001  2.7254103E-002  0.0000000E+000
  0.0000000E+000  1.1973447E-001  3.1021129E-002  0.0000000E+000
  0.0000000E+000  1.2569785E-001  3.5009472E-002  0.0000000E+000
  0.0000000E+000  1.3027005E-001  3.9189627E-002  0.0000000E+000
  0.0000000E+000  1.3365199E-001  4.3528254E-002  0.0000000E+000
  0.0000000E+000  1.3603061E-001  4.7987457E-002  0.0000000E+000
  0.0000000E+000  1.3756584E-001  5.2524372E-002  0.0000000E+000
  0.0000000E+000  1.3838624E-001  5.7091062E-002  0.0000000E+000
  0.0000000E+000  1.3858941E-001  6.1634646E-002  0.0000000E+000
  0.0000000E+000  1.3824460E-001  6.6097649E-002  0.0000000E+000
  0.0000000E+000  1.3739606E-001  7.0418487E-002  0.0000000E+000
  0.0000000E+000  1.3606631E-001  7.4532039E-002  0.0000000E+000
  0.0000000E+000  1.3425899E-001  7.8370214E-002  0.0000000E+000
  0.0000000E+000  1.3196136E-001  8.1862445E-002  0.0000000E+000
  0.0000000E+000  1.2914650E-001  8.4936007E-002  0.0000000E+000
  0.0000000E+000  1.2577544E-001  8.7516112E-002  0.0000000E+000
  0.0000000E+000  1.2179953E-001  8.9525714E-002  0.0000000E+000
  0.0000000E+000  1.1716364E-001  9.0885036E-002  0.0000000E+000
  0.0000000E+000  1.1181050E-001  9.1510847E-002  0.0000000E+000
  0.0000000E+000  1.0568710E-001  9.1315692E-002  0.0000000E+000
  0.0000000E+000  9.8753763E-002  9.0207387E-002  0.0000000E+000
  0.0000000E+000  9.0996538E-002  8.8089462E-002  0.0000000E+000
  0.0000000E+000  8.2443070E-002  8.4863693E-002  0.0000000E+000
  0.0000000E+000  7.3181236E-002  8.0436707E-002  0.0000000E+000
  0.0000000E+000  6.3377983E-002  7.4733792E-002  0.0000000E+000
  0.0000000E+000  5.3293593E-002  6.7724607E-002  0.0000000E+000
  0.0000000E+000  4.3284304E-002  5.9466678E-002  0.0000000E+000
  0.0000000E+000  3.3785535E-002  5.0171724E-002  0.0000000E+000
  0.0000000E+000  2.5270782E-002  4.0292625E-002  0.0000000E+000
  0.0000000E+000  1.8188635E-002  3.0608996E-002  0.0000000E+000
  0.0000000E+000  1.2890474E-002  2.2254066E-002  0.0000000E+000
  0.0000000E+000  9.5690881E-003  1.6592919E-002  0.0000000E+000
  0.0000000E+000  8.2277643E-003  1.4887761E-002  0.0000000E+000
  0.0000000E+000  8.6891045E-003  1.7825589E-002  0.0000000E+000
  0.0000000E+000  1.0637977E-002  2.5169611E-002  0.0000000E+000
  0.0000000E+000  1.3682153E-002  3.5802027E-002  0.0000000E+000
  0.0000000E+000  1.7412125E-002  4.8151824E-002  0.0000000E+000
  0.0000000E+000  2.1447209E-002  6.0717030E-002  0.0000000E+000
  0.0000000E+000  2.5463185E-002  7.2397024E-002  0.0000000E+000
  0.0000000E+000  2.9203282E-002  8.2566227E-002  0.0000000E+000
  0.0000000E+000  3.2477421E-002  9.0984239E-002  0.0000000E+000
  0.0000000E+000  3.5154965E-002  9.7658907E-002  0.0000000E+000
  0.0000000E+000  3.7155082E-002  1.0272892E-001  0.0000000E+000
  0.0000000E+000  3.8437322E-002  1.0638487E-001  0.0000000E+000
  0.0000000E+000  3.8993707E-002  1.0882417E-001  0.0000000E+000
  0.0000000E+000  3.8842771E-002  1.1022892E-001  0.0000000E+000
  0.0000000E+000  3.8025423E-002  1.1075726E-001  0.0000000E+000
  0.0000000E+000  3.6602266E-002  1.1054195E-001  0.0000000E+000
  0.0000000E+000  3.4651850E-002  1.0969201E-001  0.0000000E+000
  0.0000000E+000  3.2269312E-002  1.0829584E-001  0.0000000E+000
  0.0000000E+000  2.9564884E-002  1.0642431E-001  0.0000000E+000
  0.0000000E+000  2.6661789E-002  1.0413372E-001  0.0000000E+000
  0.0000000E+000  2.3693185E-002  1.0146838E-001  0.0000000E+000
  0.0000000E+000  2.0797960E-002  9.8462703E-002  0.0000000E+000
  0.0000000E+000  1.8115433E-002  9.5143096E-002  0.0000000E+000
