           [1>1]           [1>2]           [2>1]           [2>2]
  0.0000000E+000  1.8855274E-002  1.9555801E-002  0.0000000E+000
  0.0000000E+000  2.4264612E-002  1.9915650E-002  0.0000000E+000
  0.0000000E+000  3.1122958E-002  2.0282510E-002  0.0000000E+000
  0.0000000E+000  3.9669682E-002  2.0655657E-002  0.0000000E+000
  0.0000000E+000  5.0051882E-002  2.1034310E-002  0.0000000E+000
  0.0000000E+000  6.2183176E-002  2.1417625E-002  0.0000000E+000
  0.0000000E+000  7.5551163E-002  2.1804694E-002  0.0000000E+000
  0.0000000E+000  8.9055632E-002  2.2194549E-002  0.0000000E+000
  0.0000000E+000  1.0105473E-001  2.2586162E-002  0.0000000E+000
  0.0000000E+000  1.0978123E-001  2.2978443E-002  0.0000000E+000
  0.0000000E+000  1.1402166E-001  2.3370251E-002  0.0000000E+000
  0.0000000E+000  1.1361226E-001  2.3760392E-002  0.0000000E+000
  0.0000000E+000  1.0937772E-001  2.4147628E-002  0.0000000E+000
  0.0000000E+000  1.0262933E-001  2.4530684E-002  0.0000000E+000
  0.0000000E+000  9.4641128E-002  2.4908255E-002  0.0000000E+000
  0.0000000E+000  8.6369205E-002  2.5279021E-002  0.0000000E+000
  0.0000000E+000  7.8407901E-002  2.5641651E-002  0.0000000E+000
  0.0000000E+000  7.1064331E-002  2.5994823E-002  0.0000000E+000
  0.0000000E+000  6.4456562E-002  2.6337231E-002  0.0000000E+000
  0.0000000E+000  5.8593604E-002  2.6667605E-002  0.0000000E+000
  0.0000000E+000  5.3429017E-002  2.6984722E-002  0.0000000E+000
  0.0000000E+000  4.8892966E-002  2.7287423E-002  0.0000000E+000
  0.0000000E+000  4.4909785E-002  2.7574628E-002  0.0000000E+000
  0.0000000E+000  4.1406796E-002  2.7845349E-002  0.0000000E+000
  0.0000000E+000  3.8318170E-002  2.8098706E-002  0.0000000E+000
  0.0000000E+000  3.5586157E-002  2.8333938E-002  0.0000000E+000
  0.0000000E+000  3.3160994E-002  2.8550418E-002  0.0000000E+000
  0.0000000E+000  3.1000230E-002  2.8747655E-002  0.0000000E+000
  0.0000000E+000  2.9067831E-002  2.8925310E-002  0.0000000E+000
  0.0000000E+000  2.7333273E-002  2.9083194E-002  0.0000000E+000
  0.0000000E+000  2.5770698E-002  2.9221274E-002  0.0000000E+000
  0.0000000E+000  2.4358167E-002  2.9339674E-002  0.0000000E+000
  0.0000000E+000  2.3077029E-002  2.9438669E-002  0.0000000E+000
  0.0000000E+000  2.1911383E-002  2.9518684E-002  0.0000000E+000
  0.0000000E+000  2.0847626E-002  2.9580284E-002  0.0000000E+000
  0.0000000E+000  1.9874083E-002  2.9624169E-002  0.0000000E+000
  0.0000000E+000  1.8980703E-002  2.9651157E-002  0.0000000E+000
  0.0000000E+000  1.8158795E-002  2.9662178E-002  0.0000000E+000
  0.0000000E+000  1.7400824E-002  2.9658258E-002  0.0000000E+000
  0.0000000E+000  1.6700231E-002  2.9640503E-002  0.0000000E+000
  0.0000000E+000  1.6051286E-002  2.9610088E-002  0.0000000E+000
  0.0000000E+000  1.5448973E-002  2.9568243E-002  0.0000000E+000
  0.0000000E+000  1.4888878E-002  2.9516234E-002  0.0000000E+000
  0.0000000E+000  1.4367112E-002  2.9455352E-002  0.0000000E+000
  0.0000000E+000  1.3880235E-002  2.9386904E-002  0.0000000E+000
  0.0000000E+000  1.3425193E-002  2.9312193E-002  0.0000000E+000
  0.0000000E+000  1.2999274E-002  2.9232514E-002  0.0000000E+000
  0.0000000E+000  1.2600055E-002  2.9149139E-002  0.0000000E+000
  0.0000000E+000  1.2225372E-002  2.9063314E-002  0.0000000E+000
  0.0000000E+000  1.1873285E-002  2.8976246E-002  0.0000000E+000
  0.0000000E+000  1.1542050E-002  2.8889100E-002  0.0000000E+000
  0.0000000E+000  1.1230098E-002  2.8802995E-002  0.0000000E+000
  0.0000000E+000  1.0936010E-002  2.8718998E-002  0.0000000E+000
  0.0000000E+000  1.0658506E-002  2.8638123E-002  0.0000000E+000
  0.0000000E+000  1.0396425E-002  2.8561328E-002  0.0000000E+000
  0.0000000E+000  1.0148712E-002  2.8489514E-002  0.0000000E+000
  0.0000000E+000  9.9144079E-003  2.8423528E-002  0.0000000E+000
  0.0000000E+000  9.6926398E-003  2.8364158E-002  0.0000000E+000
  0.0000000E+000  9.4826103E-003  2.8312138E-002  0.0000000E+000
  0.0000000E+000  9.2835906E-003  2.8268149E-002  0.0000000E+000
  0.0000000E+000  9.0949140E-003  2.8232817E-002  0.0000000E+000
  0.0000000E+000  8.9159691E-003  2.8206722E-002  0.0000000E+000
  0.0000000E+000  8.7461950E-003  2.8190390E-002  0.0000000E+000
  0.0000000E+000  8.5850762E-003  2.8184304E-002  0.0000000E+000
  0.0000000E+000  8.4321384E-003  2.8188901E-002  0.0000000E+000
  0.0000000E+000  8.2869450E-003  2.8204575E-002  0.0000000E+000
  0.0000000E+000  8.1490936E-003  2.8231678E-002  0.0000000E+000
  0.0000000E+000  8.0182128E-003  2.8270523E-002  0.0000000E+000
  0.0000000E+000  7.8939599E-003  2.8321382E-002  0.0000000E+000
  0.0000000E+000  7.7760183E-003  2.8384490E-002  0.0000000E+000
  0.0000000E+000  7.6640951E-003  2.8460044E-002  0.0000000E+000
  0.0000000E+000  7.5579197E-003  2.8548202E-002  0.0000000E+000
  0.0000000E+000  7.4572417E-003  2.8649085E-002  0.0000000E+000
  0.0000000E+000  7.3618294E-003  2.8762772E-002  0.0000000E+000
  0.0000000E+000  7.2714684E-003  2.8889304E-002  0.0000000E+000
  0.0000000E+000  7.1859605E-003  2.9028676E-002  0.0000000E+000
  0.0000000E+000  7.1051221E-003  2.9180839E-002  0.0000000E+000
  0.0000000E+000  7.0287836E-003  2.9345694E-002  0.0000000E+000
  0.0000000E+000  6.9567883E-003  2.9523089E-002  0.0000000E+000
  0.0000000E+000  6.8889915E-003  2.9712815E-002  0.0000000E+000
  0.0000000E+000  6.8252599E-003  2.9914599E-002  0.0000000E+000
  0.0000000E+000  6.7654705E-003  3.0128099E-002  0.0000000E+000
  0.0000000E+000  6.7095105E-003  3.0352897E-002  0.0000000E+000
  0.0000000E+000  6.6572763E-003  3.0588490E-002  0.0000000E+000
  0.0000000E+000  6.6086735E-003  3.0834285E-002  0.0000000E+000
  0.0000000E+000  6.5636155E-003  3.1089586E-002  0.0000000E+000
  0.0000000E+000  6.5220242E-003  3.1353585E-002  0.0000000E+000
